2019-02-06 19:22:09 [INFO] pandownload version: 2.0.5
2019-02-06 19:22:11 [INFO] aria2 version: 1.34.0
2019-02-06 19:22:11 [INFO] aria2 json-rpc path: http://token:pandownload@127.0.0.1:6808/jsonrpc
2019-02-06 19:22:12 [INFO] create main window
2019-02-06 19:22:12 [INFO] verify cookie (619)
2019-02-06 19:22:12 [INFO] verify cookie (642)
2019-02-06 19:22:13 [INFO] user login success (1379078960): 1246725901a
2019-02-06 19:22:13 [INFO] user login success (2285008211): 1246725901a5
2019-02-06 19:24:36 [WARN] rpc error (0): request error 28
2019-02-06 19:24:49 [WARN] rpc error (0): request error 28
2019-02-06 19:25:03 [WARN] rpc error (0): request error 28
2019-02-06 19:25:08 [WARN] rpc error (0): request error 28
2019-02-06 19:25:11 [WARN] rpc error (0): request error 28
2019-02-06 19:25:14 [WARN] rpc error (0): request error 28
2019-02-06 19:25:21 [WARN] rpc error (0): request error 28
2019-02-06 19:25:29 [WARN] rpc error (0): request error 28
2019-02-06 19:25:38 [WARN] rpc error (0): request error 28
2019-02-06 19:25:40 [WARN] rpc error (0): request error 28
2019-02-06 19:25:54 [WARN] rpc error (0): request error 28
2019-02-06 19:25:58 [WARN] rpc error (0): request error 28
2019-02-06 19:26:01 [WARN] rpc error (0): request error 28
2019-02-06 19:26:13 [WARN] rpc error (0): request error 28
2019-02-06 19:26:22 [WARN] rpc error (0): request error 28
2019-02-06 19:26:54 [WARN] rpc error (0): request error 28
2019-02-06 19:27:12 [WARN] rpc error (0): request error 28
2019-02-06 19:27:14 [WARN] rpc error (0): request error 28
2019-02-06 19:27:16 [WARN] rpc error (0): request error 28
2019-02-06 19:27:18 [WARN] rpc error (0): request error 28
2019-02-06 19:27:20 [WARN] rpc error (0): request error 28
2019-02-06 19:27:21 [WARN] rpc error (0): request error 28
2019-02-06 19:27:22 [WARN] rpc error (0): request error 28
2019-02-06 19:27:23 [WARN] rpc error (0): request error 28
2019-02-06 19:27:36 [WARN] rpc error (0): request error 28
2019-02-06 19:27:59 [WARN] rpc error (0): request error 28
2019-02-06 19:28:05 [WARN] rpc error (0): request error 28
2019-02-06 19:28:26 [WARN] rpc error (0): request error 28
2019-02-06 19:28:42 [WARN] rpc error (0): request error 28
2019-02-06 19:28:50 [WARN] rpc error (0): request error 28
2019-02-06 19:28:51 [WARN] rpc error (0): request error 28
2019-02-06 19:28:54 [WARN] rpc error (0): request error 28
2019-02-06 19:28:55 [WARN] rpc error (0): request error 28
2019-02-06 19:28:56 [WARN] rpc error (0): request error 28
2019-02-06 19:28:57 [WARN] rpc error (0): request error 28
2019-02-06 19:28:58 [WARN] rpc error (0): request error 28
2019-02-06 19:29:00 [WARN] rpc error (0): request error 28
2019-02-06 19:29:03 [WARN] rpc error (0): request error 28
2019-02-06 19:29:05 [WARN] rpc error (0): request error 28
2019-02-06 19:29:07 [WARN] rpc error (0): request error 28
2019-02-06 19:29:53 [WARN] rpc error (0): request error 28
2019-02-06 19:30:21 [WARN] rpc error (0): request error 28
2019-02-06 19:30:23 [WARN] rpc error (0): request error 28
2019-02-06 19:30:25 [WARN] rpc error (0): request error 28
2019-02-06 19:30:26 [WARN] rpc error (0): request error 28
2019-02-06 19:30:28 [WARN] rpc error (0): request error 28
2019-02-06 19:30:37 [WARN] rpc error (0): request error 28
2019-02-06 19:30:40 [WARN] rpc error (0): request error 28
2019-02-06 19:30:45 [WARN] rpc error (0): request error 28
2019-02-06 19:30:46 [WARN] rpc error (0): request error 28
2019-02-06 19:30:47 [WARN] ID#1 - No URI available.(22) FILE="C:/Users/asus/Desktop/Ra2_Yuri(2in1).7z" SIZE="1528785610"
2019-02-06 19:30:51 [WARN] rpc error (0): request error 28
2019-02-06 19:30:52 [WARN] rpc error (0): request error 28
2019-02-06 19:30:53 [WARN] rpc error (0): request error 28
2019-02-06 19:30:54 [WARN] rpc error (0): request error 28
2019-02-06 19:30:55 [WARN] rpc error (0): request error 28
2019-02-06 19:30:56 [WARN] rpc error (0): request error 28
2019-02-06 19:30:57 [WARN] rpc error (0): request error 28
2019-02-06 19:30:58 [WARN] rpc error (0): request error 28
2019-02-06 19:31:01 [WARN] rpc error (0): request error 28
2019-02-06 19:31:02 [WARN] rpc error (0): request error 28
2019-02-06 19:31:04 [WARN] rpc error (0): request error 28
2019-02-06 19:31:44 [WARN] rpc error (0): request error 28
2019-02-06 19:31:50 [WARN] rpc error (0): request error 28
2019-02-06 19:32:01 [WARN] rpc error (0): request error 28
2019-02-06 19:32:07 [WARN] rpc error (0): request error 28
2019-02-06 19:32:55 [WARN] rpc error (0): request error 28
2019-02-06 19:33:06 [WARN] rpc error (0): request error 28
2019-02-06 19:33:23 [WARN] panerr (0x10000001c)
2019-02-06 19:33:23 [WARN] request error (0x10000001c): https://pan.baidu.com/api/quota 
2019-02-06 19:33:26 [WARN] rpc error (0): request error 28
2019-02-06 19:33:29 [WARN] rpc error (0): request error 28
2019-02-06 19:33:33 [WARN] rpc error (0): request error 28
2019-02-06 19:33:35 [WARN] rpc error (0): request error 28
2019-02-06 19:33:37 [WARN] rpc error (0): request error 28
2019-02-06 19:33:47 [WARN] rpc error (0): request error 28
2019-02-06 19:33:48 [WARN] rpc error (0): request error 28
2019-02-06 20:18:05 [INFO] close main window
2019-02-06 20:18:06 [INFO] exit
